timestamp,entropy,skill_name,key_pressed,active_skills,player_x,player_y,kill_count,kill_reward
1768629003.808193,121906.00,Idle,None,None,43,52,0,0
1768629003.8573458,120878.00,Idle,None,None,43,52,0,0
1768629003.9096155,121207.00,Idle,None,None,43,52,0,0
1768629003.9597647,121108.00,Idle,None,None,43,52,0,0
1768629004.0081823,122412.00,Idle,None,None,43,52,0,0
1768629004.17312,121791.00,Idle,None,None,43,52,0,0
1768629004.225217,124915.00,Idle,None,None,43,52,0,0
1768629004.2747765,123471.00,Idle,None,None,43,52,0,0
1768629004.32661,124095.00,Idle,None,None,43,52,0,0
1768629004.398483,124010.00,Idle,None,None,43,52,0,0
1768629004.4587867,124722.00,Idle,None,None,43,52,0,0
1768629004.5188425,124119.00,Idle,None,None,43,52,0,0
1768629004.784408,125050.00,Idle,None,None,43,52,0,0
1768629004.8447292,124638.00,Idle,None,None,43,52,0,0
1768629004.9092538,124163.00,Idle,None,None,43,52,0,0
1768629004.9757993,124659.00,Idle,None,None,43,52,0,0
1768629005.0417533,125712.00,Idle,None,None,43,52,0,0
1768629005.3733716,124290.00,Idle,None,None,43,52,0,0
1768629005.4277096,123569.00,Idle,None,None,43,52,0,0
1768629005.494134,124598.00,Idle,None,None,43,52,0,0
1768629005.564238,124205.00,Idle,None,None,43,52,0,0
1768629005.9469352,124483.00,Idle,None,None,43,52,0,0
1768629006.0117838,128195.00,Idle,None,None,43,52,0,0
1768629006.0777292,129407.00,Idle,None,None,43,52,0,0
1768629006.5056036,128542.00,Idle,None,None,43,52,0,0
1768629006.567771,126463.00,Idle,None,None,43,52,0,0
1768629006.629773,125769.00,Idle,None,None,43,52,0,0
1768629007.1287544,125324.00,싸이킥 불릿,r+right,None,43,52,0,0
1768629007.2007241,139171.00,Idle,right,None,46,45,0,0
1768629007.6932738,143709.00,Idle,right,None,46,45,0,0
1768629008.2530816,168494.00,싸이킥 불릿,r+right,None,52,52,15,15
1768629008.8088698,167323.00,Idle,right,None,65,41,15,0
1768629009.4153934,165004.00,Idle,None,None,84,51,21,6
1768629010.0633054,142184.00,Idle,None,None,89,45,22,1
1768629010.7998643,134885.00,점프,e+right,None,90,51,22,0
1768629011.5040135,122138.00,Idle,right,None,101,47,22,0
1768629012.1813467,113547.00,Idle,None,None,112,51,28,6
1768629012.9371693,128778.00,점프,e+up,None,133,43,28,0
1768629013.6669388,135681.00,싸이킥 불릿,r,None,138,45,34,6
1768629014.4032905,118161.00,Idle,alt_l,None,137,28,34,0
1768629015.2119226,109130.00,Idle,None,None,139,36,42,8
1768629016.0998392,90454.00,Idle,left,None,140,36,42,0
1768629016.9629874,64421.00,싸이킥 불릿,left+r,None,137,36,42,0
1768629017.8238058,64596.00,Idle,left,None,116,26,42,0
1768629018.7175732,56837.00,Idle,left,None,97,27,42,0
1768629019.6804183,98221.00,Idle,left,None,69,32,48,6
1768629020.644139,139772.00,Idle,None,None,40,34,51,3
1768629021.7118125,122588.00,에르다 샤워,4,None,39,34,51,0
1768629022.733028,116556.00,Idle,down,None,35,34,51,0
1768629023.7259192,110630.00,점프,down+e+left+r,None,37,35,51,0
1768629024.7906191,157754.00,Idle,right,None,37,52,62,11
1768629025.9161608,160606.00,Idle,None,None,52,58,66,4
1768629027.1467495,146186.00,Idle,right,None,87,62,70,4
1768629028.2668731,133220.00,Idle,right,None,104,39,70,0
1768629029.430957,135024.00,Idle,left,None,132,47,73,3
1768629030.654763,142988.00,싸이킥 불릿,left+r,None,145,51,83,10
1768629031.9175425,117744.00,Idle,right+up,None,122,41,97,14
1768629033.297877,126812.00,Idle,left,None,98,31,97,0
1768629034.5862825,126634.00,Idle,right,None,101,31,160,63
1768629035.863049,126516.00,Idle,left+right,None,118,52,102,0
1768629037.2359693,161097.00,Idle,left,None,129,62,116,14
1768629038.734131,135089.00,Idle,None,None,95,59,125,9
1768629040.1676915,142202.00,싸이킥 불릿,r+right,None,49,60,128,3
1768629041.584437,133005.00,Idle,right,None,39,35,130,2
1768629043.0585911,124704.00,싸이킥 불릿,left+r,None,50,52,133,3
1768629044.7136333,169990.00,싸이킥 불릿,r+right,None,75,51,148,15
1768629046.2656941,142679.00,Idle,None,None,86,57,158,10
1768629047.8831518,133615.00,Idle,right,None,134,67,166,8
1768629049.4606602,101686.00,Idle,None,None,142,51,166,0
1768629053.304629,97465.00,점프,e+left+r,None,165,51,168,0
1768629057.2393107,133209.00,점프,down+e,None,108,36,180,12
1768629059.4229138,119766.00,Idle,left,None,95,34,186,6
1768629061.5514352,141349.00,Idle,right,None,79,44,201,15
1768629063.8885515,130864.00,Idle,right,None,48,52,208,7
1768629065.984302,118801.00,Idle,down,None,80,51,209,1
1768629068.1615126,150855.00,싸이킥 불릿,r+right,None,104,34,216,7
1768629070.550608,128018.00,Idle,left,None,139,51,231,15
1768629072.7631388,131996.00,Idle,None,None,98,61,246,15
1768629075.0421488,161862.00,Idle,None,None,46,36,250,4
1768629077.603969,157573.00,점프,e+right,None,66,43,267,17
1768629079.9569116,123105.00,Idle,left,None,88,24,275,8
1768629082.3713312,151976.00,싸이킥 불릿,left+r,None,139,65,284,9
1768629084.9443533,139788.00,Idle,left+right,None,68,56,305,21
1768629087.5603564,136416.00,Idle,None,None,28,52,308,3
1768629090.4107559,164300.00,Idle,None,None,78,51,322,14
1768629093.2133415,126707.00,싸이킥 불릿,left+r,None,141,51,325,3
1768629096.1965601,91045.00,Idle,None,None,159,41,328,3
1768629102.1919653,123886.00,Idle,right,None,77,47,357,29
1768629105.0127103,159215.00,점프,e+up,None,42,51,376,19
1768629108.117223,110429.00,Idle,left,None,99,36,398,22
1768629111.0231786,93718.00,Idle,left,None,138,47,404,6
1768629114.243233,131357.00,Idle,left,None,131,51,429,25
1768629117.1937654,95175.00,Idle,right,None,77,28,433,4
1768629120.5968823,109118.00,Idle,None,None,43,58,442,9
1768629123.792128,145282.00,Idle,None,None,126,66,473,31
1768629127.1614826,101841.00,싸이킥 불릿,left+r,None,97,44,476,3
1768629133.8714068,139016.00,Idle,left,None,73,57,505,10
1768629137.2047799,135727.00,점프,e+left+r,None,135,51,515,10
1768629140.7797055,128269.00,싸이킥 불릿,r+right,None,77,25,529,14
1768629144.0875568,150057.00,Idle,left,None,66,57,546,17
1768629147.7391813,123704.00,Idle,left,None,135,47,562,16
1768629151.0410042,131164.00,Idle,down,None,60,32,577,15
1768629154.7090037,148047.00,Idle,right,None,30,52,577,0
1768629157.9833076,126476.00,싸이킥 불릿,r,None,99,48,594,17
1768629161.7409022,123862.00,Idle,right,None,124,57,620,26
1768629165.2467723,131600.00,Idle,right,None,39,43,631,11
1768629168.9165053,150019.00,점프,e+left,None,92,51,654,23
1768629172.3022692,125230.00,Idle,right,None,109,64,663,9
1768629176.0185258,136866.00,Idle,left,None,135,51,631,0
1768629183.3440506,155761.00,Idle,right,None,39,65,710,15
1768629186.74625,117083.00,점프,e+up,None,107,51,723,13
1768629190.5504787,135351.00,싸이킥 불릿,r,None,98,30,741,18
1768629194.2264154,127880.00,점프,e+right,None,49,52,756,15
1768629197.675417,144650.00,Idle,None,None,114,59,769,13
1768629201.3081684,120271.00,싸이킥 불릿,left+r,None,109,65,786,17
1768629204.9329855,147189.00,점프,e+right,None,66,51,791,5
1768629208.9586422,133805.00,Idle,left,None,71,58,818,27
1768629212.763432,134848.00,점프,e+up,None,111,44,830,12
1768629216.7959511,152618.00,싸이킥 불릿,r+right,None,33,45,853,23
1768629220.5049512,120062.00,Idle,down,None,42,25,861,8
1768629224.4888062,121759.00,Idle,right,None,139,50,866,5
1768629228.2708228,144024.00,싸이킥 불릿,r+right,None,33,65,902,36
1768629232.2972934,112625.00,점프,e+left,None,69,24,910,8
1768629236.114113,142284.00,Idle,None,None,93,61,944,34
1768629240.1833472,117320.00,점프,e+right,None,52,52,948,4
1768629248.064475,132658.00,Idle,None,None,67,58,984,24
1768629251.9008932,133236.00,점프,e+left+r,None,62,22,1008,24
1768629256.1445785,153180.00,점프,e+right+up,None,127,57,1018,10
1768629260.054514,137786.00,점프,e+right,None,40,48,1043,25
1768629264.3187883,135783.00,Idle,left,None,114,30,1053,10
1768629268.2246003,151497.00,Idle,None,None,68,67,1087,34
1768629272.4594188,119092.00,Idle,left,None,64,22,1088,1
1768629276.3898578,127551.00,Idle,right,None,132,61,1115,27
1768629280.6560366,158386.00,싸이킥 불릿,r+right,None,46,38,1137,22
1768629284.6163843,113842.00,Idle,left,None,141,51,1151,14
1768629288.6344633,150183.00,Idle,right,None,118,64,1167,16
1768629292.9653924,176290.00,Idle,down,None,36,52,1184,17
1768629297.056356,105533.00,Idle,None,None,94,50,1223,39
1768629301.4713664,174307.00,Idle,right,None,52,38,1244,21
1768629305.5676074,112008.00,점프,e+left+r,None,87,33,1254,10
1768629310.1961591,165109.00,Idle,right,None,89,56,1293,39
1768629314.332258,107812.00,점프,e+right,None,41,34,1308,15
1768629318.6628509,145111.00,Idle,left+up,None,114,53,1323,15
1768629322.725997,129136.00,싸이킥 불릿,r+right,None,32,44,1343,20
1768629327.2067008,143829.00,점프,e+right,None,81,24,1368,25
1768629331.3195608,162165.00,Idle,None,None,55,61,1393,25
